Parcels,Sensory,Association,Association_PMM_VMM,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRG3,SST,GRIN3A,PVALB
152,1,0,0,-0.622776,1.04612,-1.16936,0.902954,-0.353437,-1.07478,-1.09049,-0.821425,0.727532
153,1,0,0,-1.28737,0.916584,-0.890265,1.22895,-0.656708,-0.546457,-0.0368712,-0.892548,0.431457
154,1,0,0,-0.565077,0.817061,-0.448057,1.9367,-0.940639,0.174387,-1.10503,-0.4936,-0.0480652
155,0,1,1,1.23289,0.0167863,0.921414,-0.845177,1.25051,-2.40335,-0.227998,0.513696,-1.14154
156,1,0,0,-0.713968,0.734003,-0.860409,0.86619,-0.73459,1.09252,-0.979151,-1.38189,0.415483
157,1,0,0,-0.400925,0.922519,-0.54484,0.351582,-0.397717,-0.443824,-0.931479,-0.814511,0.166546
158,1,0,0,-0.755263,0.994912,-1.10378,1.05275,-1.46979,-0.654823,-1.79647,-1.91732,0.179429
159,1,0,0,-0.574717,0.499175,-0.70402,0.896435,-0.329523,0.779985,-0.530172,-0.774251,0.465313
160,1,0,0,-1.10264,0.239001,-0.589088,1.80276,-0.450484,-0.775099,0.0858657,-0.696801,0.143955
161,0,1,1,-1.02393,0.919541,-0.51862,-0.381146,0.533322,0.320293,0.328892,-0.437939,0.167551
162,0,1,1,-0.0718928,0.290311,-0.0989307,0.924445,0.569594,-0.650848,0.910603,-0.14672,-0.38122
163,1,0,0,0.187426,-0.606182,0.231527,0.100785,0.285226,-0.492408,-0.243817,0.155631,-0.250082
164,0,1,1,1.56765,-2.34456,2.33201,-1.44797,1.34507,0.192599,2.55244,2.06644,-3.2578
165,0,1,1,1.35691,-0.666304,1.78693,-1.23277,1.0502,0.625589,1.66612,1.67211,-1.96713
166,0,1,1,0.931759,-1.72901,2.14462,-0.321637,1.84768,0.0822196,2.16803,2.02478,-2.92452
167,0,1,1,1.41375,-0.78278,1.5747,-0.784488,1.83121,-1.8379,1.08588,1.29266,-2.04146
168,1,0,0,-0.127086,-0.749867,0.867915,-0.333726,-0.428955,0.145107,0.301505,0.412719,0.0894524
169,0,1,1,0.983325,-0.175592,0.838177,-1.00935,0.635544,1.24178,1.03014,1.13808,-0.182773
170,0,1,1,0.602613,0.157262,0.421285,-0.891049,0.52881,0.264499,0.198322,0.484869,0.268964
171,0,1,1,-0.601907,-0.741807,0.213762,0.889351,0.483069,0.789641,0.815802,0.530548,-0.0293401
172,0,1,1,0.844866,-0.825896,1.53515,-1.62048,1.78282,-0.65927,1.1193,1.50564,-1.89754
173,1,0,0,-0.438946,0.820621,0.67737,0.276503,-0.560833,0.282899,-0.359034,0.596643,0.379942
174,1,0,0,-0.956017,0.589301,-0.0970044,0.351089,-1.01903,1.22818,-0.460019,-0.515284,0.695606
175,1,0,0,0.105624,0.0470165,-0.114352,1.64618,-0.695316,0.550026,-0.390979,-0.109258,0.226991
176,0,1,1,0.800166,-1.08824,0.655931,-0.228395,0.307275,1.10107,0.331196,0.304035,-0.715328
177,0,1,1,0.819885,-0.193011,0.767148,1.23685,1.08504,-1.63097,0.926236,0.909891,-0.912537
178,0,1,1,0.791164,-1.87474,1.17337,0.578758,1.10067,-2.52097,0.605983,1.42044,-2.46621
179,0,1,1,1.35399,-1.78129,1.56354,-1.22968,0.996694,-0.57072,2.52022,1.34324,-1.51676
180,0,1,1,1.5956,-2.81247,1.97085,-1.13999,1.53672,-3.16,3.02779,1.48317,-2.61709
181,1,0,0,-2.62462,2.504,-2.26967,2.09114,-2.80127,1.00272,-1.91942,-2.16726,1.54702
182,1,0,0,-0.702059,1.2919,-0.656797,-0.199328,-0.620166,-0.748436,-1.37954,-0.870997,0.275264
183,1,0,0,-1.3461,2.06737,-1.61937,1.53048,-0.94988,1.13425,-1.57195,-1.30064,0.954689
184,1,0,0,-2.42793,2.42714,-1.83908,1.20164,-2.04709,2.39504,-1.98478,-1.91796,1.52855
185,1,0,0,-2.10543,1.96845,-1.75059,1.57707,-1.85866,0.471581,-1.86361,-1.82363,1.07838
186,1,0,0,-1.84227,1.31323,-1.49536,1.46759,-1.0896,0.726441,-1.79082,-1.54185,0.784169
187,1,0,0,-1.44731,1.10585,-1.13616,1.20015,-1.05096,-0.72538,-1.41404,-1.3444,0.360671
188,1,0,0,-0.562578,0.427742,-0.909149,0.178478,-1.3162,-0.23179,-0.567754,-0.506585,1.1535
189,1,0,0,-1.0224,0.970456,-0.975311,0.167428,-1.22256,0.286334,-0.128014,-0.308213,1.43893
190,0,1,1,0.528885,-0.42877,-0.165791,-0.79277,-0.0588794,0.0511587,0.294927,0.367445,0.563648
191,0,1,1,1.05396,0.00314872,-0.319099,-0.0861733,-0.349661,0.22771,0.0873581,0.324927,0.449028
192,0,1,1,0.862227,-0.0669541,-0.292455,0.0538265,-0.379847,0.406536,-0.180924,0.373318,0.669885
193,1,0,0,-1.47911,1.46726,-1.58851,2.05207,-1.67434,0.678129,-2.07187,-1.74836,0.778077
194,0,1,1,-0.362183,-0.276655,0.16097,-0.888801,-0.174471,-0.203982,0.556005,-0.018496,-0.0979201
195,0,1,1,-0.629055,1.71971,-0.823277,1.34187,-0.777346,0.318178,-0.979059,-0.982083,0.619977
196,1,0,0,-0.411435,0.68936,-1.30474,1.79024,-1.03303,-2.1014,-0.703765,-0.903612,0.766602
197,1,0,0,-0.711061,0.754413,-1.45145,1.5729,-0.724039,-2.86138,-1.18839,-1.17089,0.469856
198,1,0,0,-0.863721,0.28791,-0.423506,0.218262,-0.0434931,-0.610005,-0.217405,-0.513072,-0.0115507
199,1,0,0,-0.747582,0.589658,-1.5631,1.2414,-2.11188,-1.57115,-1.65357,-1.67439,0.088747
200,1,0,0,-0.98957,0.559926,-1.14286,0.660398,-1.16476,0.976397,-1.02819,-1.68596,0.5456
201,1,0,0,-1.35495,0.775304,-1.38546,1.75975,-1.3926,1.72574,-1.2783,-1.80772,0.673048
202,1,0,0,-1.24682,1.20382,-1.35556,1.52399,-0.840463,0.547484,-0.908046,-1.29888,0.819135
203,1,0,0,-0.72058,1.11836,-0.719203,0.404298,-0.476173,-0.420535,-1.14865,-0.950986,0.307052
204,1,0,0,-1.0982,0.233796,0.183418,-0.195529,-0.156934,1.50369,0.268859,-0.322061,0.39938
205,0,1,1,0.192526,0.143554,-0.094175,0.655017,-0.0265219,0.232568,-0.0863394,-0.268681,0.132091
206,0,1,1,0.673978,-0.439508,0.384977,-0.636388,0.262849,-0.388581,0.0360068,0.259959,0.211421
207,0,0,1,-0.723994,0.942761,-0.567634,-0.0876924,0.668524,-1.45956,0.156205,-0.429003,0.0573129
208,0,0,1,0.310317,0.139976,-0.238271,0.491725,-0.177019,-0.254883,-0.689348,-0.286168,0.07393
209,0,1,1,-0.513864,0.639873,-0.671869,-0.0847417,-0.330329,0.173213,-0.740426,-0.903063,0.606823
210,0,1,1,-0.736111,1.45056,-0.571032,-0.49318,-0.204207,-0.087602,-1.08898,-0.934798,0.267752
211,0,1,1,-0.38068,1.00088,0.23147,-0.136047,0.394643,1.03259,-0.12471,-0.319795,-0.00204123
212,0,1,1,0.354297,0.154217,0.715803,0.250956,0.62727,-0.721362,0.530471,0.207144,-0.713649
213,0,1,1,-0.372279,1.05827,0.326087,-0.876677,0.338106,0.0514686,-0.49648,-0.319315,-0.0546924
214,0,1,1,-0.750341,-0.314788,-0.352974,-1.35458,0.304566,-0.51162,0.884285,-0.276029,0.108314
215,0,1,1,-0.405814,0.777979,-0.441437,-0.994052,0.22846,-0.98553,0.220649,-0.311018,-0.0777965
216,1,0,0,-0.287604,0.342918,-0.779213,0.238057,-1.02906,0.133537,-0.789514,-0.869731,0.933631
217,0,1,1,-0.168867,0.319849,0.045205,-0.569804,0.209456,0.0251845,-0.041928,-0.124198,-0.115555
218,0,1,1,0.445616,-0.323121,0.320112,1.32955,0.664166,-0.762377,1.36032,0.627777,-0.440611
219,1,0,0,-0.204003,0.263398,-0.808652,0.109593,-0.0775412,-0.775951,-0.0389916,-0.512645,0.32026
220,1,0,0,0.0311729,-0.0451065,0.227594,-1.26959,0.0950258,-0.516111,0.209152,0.651362,0.166408
221,1,0,0,1.05934,-0.561694,1.38658,-0.320237,0.742795,-1.73579,0.459576,1.4534,-0.878434
222,1,0,0,-0.137084,0.747508,-0.933754,1.0387,0.0386605,-1.13283,-0.990571,-0.830106,0.268116
223,0,1,1,0.810363,-0.571715,0.562119,-1.28628,0.236495,0.28357,-0.372237,0.86925,0.11521
224,0,1,1,1.1264,-0.551106,0.306104,-2.06266,-0.0739396,-0.986721,0.137258,0.512245,0.105676
225,0,1,1,0.301272,0.616522,-0.523944,0.639694,0.370017,0.0148467,-1.05255,-0.583485,0.270728
226,0,1,1,-0.387615,0.685924,-0.817861,0.785027,-0.149564,0.236591,-0.976474,-0.866884,0.757205
227,1,0,0,-0.240029,0.620651,-0.810754,1.05153,0.151068,-1.33595,-0.460463,-0.690253,0.809308
228,1,0,0,0.0913394,1.31946,-0.809853,1.52609,0.0589642,-0.26859,-1.38544,-0.505968,0.867212
229,1,0,0,0.315677,1.27411,-0.569951,1.59964,0.416328,0.899693,-1.43609,-0.55146,0.697742
230,0,1,1,-0.701523,0.235459,-1.07262,0.814551,-0.493517,-0.897534,-1.24605,-1.14223,0.553742
231,1,0,0,-1.09697,-0.364427,-0.968207,0.359455,-0.579607,0.0232045,-0.201045,-1.09081,0.881657
232,1,0,0,-0.354013,-0.502945,-0.531087,0.432318,0.148268,-0.482396,-0.149098,-1.04279,0.195014
233,1,0,0,-0.814885,0.609495,-1.0214,0.878306,-1.27456,-0.458925,-0.290798,-0.555798,1.33176
234,1,0,0,-0.255602,-0.355819,-0.617068,-1.46402,-1.05188,0.464105,-0.981188,-0.505021,1.00212
235,1,0,0,0.462643,-0.512949,-0.111438,-0.314446,-0.0383866,-0.633337,-0.403889,0.329588,0.649096
236,1,0,0,1.01909,-0.636858,-0.188498,0.330804,-0.684393,0.844899,1.05225,0.288436,0.648201
